Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","39120.13","Bran of cereals n.e.c.","2023","2023","1000 USD","56","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","22241.01","Butter of cow milk","2023","2023","1000 USD","94","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21910.03","Cake of  soya beans","2023","2023","1000 USD","2","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21910.07","Cake of sunflower seed","2023","2023","1000 USD","24","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","23140.08","Cereal preparations","2023","2023","1000 USD","132","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","01199.90","Cereals n.e.c.","2023","2023","1000 USD","253","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","22251.01","Cheese from whole cow milk","2023","2023","1000 USD","350","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","2023","2023","1000 USD","36","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","F0666","Chocolate products nes","2023","2023","1000 USD","22","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","23620","Cocoa butter, fat and oil","2023","2023","1000 USD","2","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","F0665","Cocoa powder and cake","2023","2023","1000 USD","6","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","2166","Coconut oil","2023","2023","1000 USD","14","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","23912.02","Coffee extracts","2023","2023","1000 USD","41","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","01610","Coffee, green","2023","2023","1000 USD","17","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","01314","Dates","2023","2023","1000 USD","111","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2023","2023","1000 USD","758","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","23993.02","Eggs, liquid","2023","2023","1000 USD","2","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","F1243","Fat preparations n.e.c.","2023","2023","1000 USD","338","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","23120.90","Flour of cereals n.e.c.","2023","2023","1000 USD","7651","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21920","Flours and meals of oil seeds or oleaginous fruits, except those of mustard","2023","2023","1000 USD","27170","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","39170.01","Food wastes","2023","2023","1000 USD","46","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","F0623","Fruit prepared n.e.c.","2023","2023","1000 USD","12","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","2162","Groundnut oil","2023","2023","1000 USD","1","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21421","Groundnuts, shelled","2023","2023","1000 USD","1136","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","0231","Hen eggs in shell, fresh","2023","2023","1000 USD","8","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","F1275","hydrogenated oils and fats","2023","2023","1000 USD","7542","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","23991.01","Infant food","2023","2023","1000 USD","842","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21439.90","Juice of fruits n.e.c.","2023","2023","1000 USD","317","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","01441","Linseed","2023","2023","1000 USD","0","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","0112","Maize (corn)","2023","2023","1000 USD","10771","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","24320","Malt, whether or not roasted","2023","2023","1000 USD","11235","E","Estimated value"
TI,"Trade Indices","108","Burundi","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","1000 USD","476","E","Estimated value"
